"","x"
"1",0.000395956518476878
"2",0.000395969865587784
"3",0.000395959814442408
"4",0.000395968535545336
"5",0.000395984470079756
"6",0.000395975043802186
"7",0.000395978267300836
"8",0.000395979606074315
"9",0.00039597956430965
"10",0.000395978103938152
"11",0.000395984078644492
"12",0.000396003081913415
"13",0.000396037260901991
"14",0.000396064910273156
"15",0.00039606879451695
"16",0.000396076588594825
"17",0.000396095282957558
"18",0.000396105034489228
"19",0.000396107065967775
"20",0.000396107483944867
"21",0.000396112827509446
"22",0.000396124916225907
"23",0.000396133939703582
"24",0.000396143380910905
"25",0.000396148484395752
"26",0.000396147317378729
"27",0.000396129601058348
"28",0.00039611933218558
"29",0.000396123037626077
"30",0.000396121107933575
"31",0.000396131006653654
"32",0.000396148881539816
"33",0.00039613006123325
"34",0.000396122693570973
"35",0.000396125607999847
"36",0.000396112649926175
"37",0.000396110539667499
"38",0.000396127739143474
"39",0.000396133851666317
"40",0.000396137716272577
"41",0.000396135397572608
"42",0.000396148399348262
"43",0.000396139103806856
"44",0.000396148644669175
"45",0.000396123727893582
"46",0.00039611729533601
"47",0.000396125270436375
"48",0.000396125998804249
"49",0.000396120448567505
"50",0.000396113662539584
"51",0.000396130637822182
"52",0.00039613535616502
"53",0.000396135795473641
"54",0.00039612797425787
"55",0.000396128127036227
"56",0.000396140412120461
"57",0.000396146105761777
"58",0.000396151926617618
"59",0.00039615681455599
"60",0.0003961660732757
"61",0.000396190481285526
"62",0.000396191080121839
"63",0.000396176230942225
"64",0.000396180711702633
"65",0.000396177566945552
"66",0.000396176895279249
"67",0.000396174755438444
"68",0.000396168253309203
"69",0.000396171351672318
"70",0.000396167878544661
"71",0.000396164163878251
"72",0.000396170686890347
"73",0.000396166977893942
"74",0.000396158253201539
"75",0.000396162303351941
"76",0.00039616630130721
"77",0.000396169320337991
"78",0.000396154933824513
"79",0.000396165150910274
"80",0.000396176037606695
"81",0.000396192449416394
"82",0.000396210015077672
"83",0.000396229025811334
"84",0.00039622896777145
"85",0.000396230893053266
"86",0.000396232544909268
"87",0.000396229094491794
"88",0.000396229265062806
"89",0.000396227359358227
"90",0.000396234608833509
"91",0.000396240044505676
"92",0.000396253118707875
"93",0.000396259917028385
"94",0.000396260434782356
"95",0.000396258538642508
"96",0.000396269211467747
"97",0.000396280113793594
"98",0.000396280922858294
"99",0.000396266457910458
"100",0.000396268758056897
