"","x"
"1",0.000397698837040586
"2",0.000397709420950132
"3",0.000397717005955004
"4",0.000397739058494561
"5",0.000397770329100343
"6",0.00039778358048582
"7",0.000397803186904224
"8",0.000397812517062639
"9",0.000397820976096876
"10",0.000397831871772419
"11",0.000397853661314211
"12",0.000397883356399905
"13",0.000397918770768881
"14",0.000397956005138268
"15",0.000397983928874554
"16",0.000397997596065973
"17",0.000398017803560866
"18",0.000398028050637034
"19",0.000398049877462591
"20",0.000398077197300719
"21",0.000398097135826656
"22",0.000398096375785552
"23",0.000398104248846647
"24",0.00039812844025901
"25",0.000398130738905112
"26",0.000398142305248638
"27",0.000398136400880262
"28",0.000398142250415639
"29",0.000398162068589624
"30",0.000398186232166964
"31",0.000398236982336387
"32",0.00039827314026729
"33",0.000398281399582623
"34",0.000398290633182568
"35",0.000398289415939538
"36",0.00039829999612294
"37",0.000398318608058336
"38",0.000398352578800932
"39",0.000398361490253869
"40",0.000398380415147948
"41",0.000398423750554272
"42",0.00039845495032592
"43",0.000398440693846137
"44",0.000398474789183912
"45",0.000398491022034553
"46",0.000398483467173149
"47",0.000398474461833991
"48",0.000398483685593576
"49",0.000398477905174585
"50",0.000398476382828092
"51",0.000398502629193483
"52",0.000398528896083549
"53",0.000398550789318737
"54",0.000398558499900851
"55",0.000398573353649381
"56",0.000398589230741424
"57",0.000398604308674755
"58",0.000398605203017263
"59",0.000398600191812012
"60",0.000398610378571129
"61",0.00039863201713881
"62",0.000398640787967373
"63",0.000398670307094456
"64",0.0003987050321161
"65",0.000398709311967031
"66",0.000398722859235752
"67",0.000398753679612787
"68",0.00039879019229523
"69",0.000398825886903561
"70",0.000398832856353384
"71",0.000398832300366013
"72",0.000398823674628032
"73",0.000398820735575615
"74",0.000398812045416171
"75",0.000398824042335587
"76",0.000398846531933248
"77",0.000398856376107455
"78",0.000398858690531205
"79",0.000398858456355582
"80",0.000398877568006042
"81",0.000398896690563299
"82",0.000398913855024508
"83",0.000398906624589781
"84",0.000398912933303843
"85",0.000398946598093402
"86",0.000398948863892254
"87",0.000398925049061705
"88",0.000398927386170605
"89",0.00039894150930332
"90",0.0003989524088515
"91",0.000398959769477441
"92",0.00039899206207956
"93",0.00039900602732561
"94",0.000399012180919143
"95",0.000399029439802565
"96",0.000399059571649453
"97",0.000399074271799442
"98",0.000399082257403783
"99",0.00039908834314619
"100",0.000399109243142382
"101",0.00039912037098592
"102",0.00039911075093393
"103",0.000399108240248885
"104",0.000399134848172311
"105",0.000399141975699879
"106",0.000399156546500257
"107",0.000399193435322474
"108",0.000399198550609158
"109",0.000399198981228917
"110",0.000399231082062979
"111",0.000399245481383894
"112",0.000399263098536879
"113",0.000399292125116665
"114",0.000399324745360188
"115",0.000399335402694635
"116",0.000399346395861305
"117",0.000399364509717194
"118",0.000399369854289923
"119",0.000399379413142769
"120",0.000399385252533114
"121",0.000399389841035127
"122",0.000399402016979893
"123",0.00039941257831359
"124",0.000399417038270544
"125",0.000399417528737934
"126",0.000399420545075945
"127",0.000399409481689636
"128",0.000399384339409124
"129",0.000399355036745247
"130",0.000399339032996739
"131",0.00039932697325238
"132",0.000399322373761251
"133",0.000399310783509695
"134",0.00039930956650479
"135",0.000399296551704478
"136",0.000399279870702391
"137",0.000399262896831624
"138",0.000399244221530019
"139",0.000399221560856119
"140",0.000399198336371012
"141",0.000399177130411824
"142",0.000399174113354424
"143",0.000399204366921536
